v=0.13.200,time=2025-03-01T02:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1499.8,cpukib=117671064,rssanonkib=101380628,cputime_sec=377436
v=0.13.200,time=2025-03-01T02:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1499.9,cpukib=47290208,rssanonkib=46836216,cputime_sec=381959
v=0.13.200,time=2025-03-01T02:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482037
v=0.13.200,time=2025-03-01T02:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1497.2,cpukib=76924816,rssanonkib=75570884,cputime_sec=385774
v=0.13.200,time=2025-03-01T02:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482037
v=0.13.200,time=2025-03-01T02:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1497.6,cpukib=79201776,rssanonkib=77934964,cputime_sec=390362
v=0.13.200,time=2025-03-01T02:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482037
v=0.13.200,time=2025-03-01T02:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1494.9,cpukib=107782680,rssanonkib=98784568,cputime_sec=394135
v=0.13.200,time=2025-03-01T02:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482038
v=0.13.200,time=2025-03-01T02:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482038
v=0.13.200,time=2025-03-01T02:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1494.1,cpukib=117672060,rssanonkib=109273960,cputime_sec=398402
v=0.13.200,time=2025-03-01T02:30:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1492.8,cpukib=123653876,rssanonkib=115842340,cputime_sec=402532
v=0.13.200,time=2025-03-01T02:30:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482038
v=0.13.200,time=2025-03-01T02:35:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1492.2,cpukib=56705432,rssanonkib=55946692,cputime_sec=406869
v=0.13.200,time=2025-03-01T02:35:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482038
v=0.13.200,time=2025-03-01T02:40:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=892242
v=0.13.200,time=2025-03-01T02:45:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652064,rssanonkib=1143788,cputime_sec=892267
v=0.13.200,time=2025-03-01T02:45:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=787.9,cpukib=79481180,rssanonkib=45821636,cputime_sec=1343
v=0.13.200,time=2025-03-01T02:50:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652064,rssanonkib=1143788,cputime_sec=892267
v=0.13.200,time=2025-03-01T02:50:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=910.4,cpukib=239833752,rssanonkib=217485948,cputime_sec=4283
v=0.13.200,time=2025-03-01T02:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652064,rssanonkib=1143788,cputime_sec=892268
v=0.13.200,time=2025-03-01T02:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=diann-1.8.1.8,job=1354233,pid=2765099,ppid=2757492,cpu%=1623,cpukib=8607680,rssanonkib=8428604,cputime_sec=4698
v=0.13.200,time=2025-03-01T02:55:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2757492,ppid=2634937,cpu%=578.1,cpukib=239835016,rssanonkib=217552508,cputime_sec=4453
