v=0.13.200,time=2025-03-01T01:15:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1462529,ppid=1462528,cpu%=98.9,cpukib=174964,rssanonkib=168652,cputime_sec=49086
v=0.13.200,time=2025-03-01T01:15:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1501825,ppid=1501824,cpu%=99.2,cpukib=209308,rssanonkib=201016,cputime_sec=35600
v=0.13.200,time=2025-03-01T01:20:01+01:00,host=c1-9.fox,user=ec-aaf,cmd=python3,job=1355987,ppid=1629507,cpu%=9888.8,cpukib=445288144,rssanonkib=22206876,cputime_sec=266741,rolledup=99
v=0.13.200,time=2025-03-01T01:20:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1501825,ppid=1501824,cpu%=99.2,cpukib=209308,rssanonkib=201016,cputime_sec=35897
v=0.13.200,time=2025-03-01T01:20:01+01:00,host=c1-9.fox,user=ec-aae,cmd=caveman.pl,job=1352360,pid=1416750,ppid=1416747,cpukib=101644,rssanonkib=82944,cputime_sec=180652
v=0.13.200,time=2025-03-01T01:20:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1460025,ppid=1460024,cpu%=98.8,cpukib=227336,rssanonkib=221156,cputime_sec=50160
v=0.13.200,time=2025-03-01T01:20:01+01:00,host=c1-9.fox,user=ec-aae,cmd=analysisWGS.sh,job=1352360,pid=960418,ppid=960382,cpukib=856,cputime_sec=1233391
v=0.13.200,time=2025-03-01T01:20:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1462529,ppid=1462528,cpu%=98.9,cpukib=174964,rssanonkib=168652,cputime_sec=49382
v=0.13.200,time=2025-03-01T01:20:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1460052,ppid=1460051,cpu%=98.7,cpukib=138468,rssanonkib=132096,cputime_sec=50111
v=0.13.200,time=2025-03-01T01:25:01+01:00,host=c1-9.fox,user=ec-aaf,cmd=python3,job=1355987,ppid=1629507,cpu%=9889.4,cpukib=445289168,rssanonkib=22208924,cputime_sec=296436,rolledup=99
v=0.13.200,time=2025-03-01T01:25:01+01:00,host=c1-9.fox,user=ec-aae,cmd=analysisWGS.sh,job=1352360,pid=960418,ppid=960382,cpukib=856,cputime_sec=1233391
v=0.13.200,time=2025-03-01T01:25:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1460052,ppid=1460051,cpu%=98.7,cpukib=138468,rssanonkib=132096,cputime_sec=50409
v=0.13.200,time=2025-03-01T01:25:01+01:00,host=c1-9.fox,user=ec-aae,cmd=caveman.pl,job=1352360,pid=1416750,ppid=1416747,cpukib=101644,rssanonkib=82944,cputime_sec=180652
v=0.13.200,time=2025-03-01T01:25:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1462529,ppid=1462528,cpu%=98.9,cpukib=174964,rssanonkib=168652,cputime_sec=49679
v=0.13.200,time=2025-03-01T01:25:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1460025,ppid=1460024,cpu%=98.8,cpukib=227336,rssanonkib=221156,cputime_sec=50458
v=0.13.200,time=2025-03-01T01:25:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1501825,ppid=1501824,cpu%=99.2,cpukib=209308,rssanonkib=202040,cputime_sec=36196
v=0.13.200,time=2025-03-01T01:30:01+01:00,host=c1-9.fox,user=ec-aaf,cmd=python3,job=1355987,ppid=1629507,cpu%=9886.3,cpukib=445293264,rssanonkib=22215084,cputime_sec=326009,rolledup=99
v=0.13.200,time=2025-03-01T01:30:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1462529,ppid=1462528,cpu%=98.9,cpukib=174964,rssanonkib=168652,cputime_sec=49976
v=0.13.200,time=2025-03-01T01:30:01+01:00,host=c1-9.fox,user=ec-aae,cmd=analysisWGS.sh,job=1352360,pid=960418,ppid=960382,cpukib=860,cputime_sec=1233392
v=0.13.200,time=2025-03-01T01:30:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1460052,ppid=1460051,cpu%=98.7,cpukib=138468,rssanonkib=132096,cputime_sec=50706
v=0.13.200,time=2025-03-01T01:30:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1460025,ppid=1460024,cpu%=98.8,cpukib=227336,rssanonkib=221156,cputime_sec=50756
v=0.13.200,time=2025-03-01T01:30:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1501825,ppid=1501824,cpu%=99.2,cpukib=209308,rssanonkib=202040,cputime_sec=36494
v=0.13.200,time=2025-03-01T01:30:01+01:00,host=c1-9.fox,user=ec-aae,cmd=caveman.pl,job=1352360,pid=1416750,ppid=1416747,cpukib=101644,rssanonkib=82944,cputime_sec=180652
v=0.13.200,time=2025-03-01T01:35:01+01:00,host=c1-9.fox,user=ec-aaf,cmd=python3,job=1355987,ppid=1629507,cpu%=9887.1,cpukib=445294260,rssanonkib=22215084,cputime_sec=355681,rolledup=99
v=0.13.200,time=2025-03-01T01:35:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1462529,ppid=1462528,cpu%=98.9,cpukib=174964,rssanonkib=168652,cputime_sec=50274
v=0.13.200,time=2025-03-01T01:35:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1460052,ppid=1460051,cpu%=98.7,cpukib=138468,rssanonkib=132096,cputime_sec=51005
v=0.13.200,time=2025-03-01T01:35:01+01:00,host=c1-9.fox,user=ec-aae,cmd=analysisWGS.sh,job=1352360,pid=960418,ppid=960382,cpukib=860,cputime_sec=1233392
v=0.13.200,time=2025-03-01T01:35:01+01:00,host=c1-9.fox,user=ec-aae,cmd=caveman.pl,job=1352360,pid=1416750,ppid=1416747,cpukib=101644,rssanonkib=82944,cputime_sec=180652
v=0.13.200,time=2025-03-01T01:35:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1460025,ppid=1460024,cpu%=98.8,cpukib=227336,rssanonkib=221156,cputime_sec=51055
v=0.13.200,time=2025-03-01T01:35:01+01:00,host=c1-9.fox,user=ec-aae,cmd=perl,job=1352360,pid=1501825,ppid=1501824,cpu%=99.2,cpukib=209308,rssanonkib=202040,cputime_sec=36792
v=0.13.200,time=2025-03-01T01:40:01+01:00,host=c1-9.fox,user=ec-aae,cmd=analysisWGS.sh,job=1352360,pid=960418,ppid=960382,cpukib=860,cputime_sec=1233392
